Order,Lot Area,Overall Qual,Overall Cond,Central Air,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Paved Drive,Wood Deck SF,SalePrice,TotalSF,TotalFloorSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
1,31770,6,5,1,3,1,7,2,1,210,215000,2736.0,1656,2.0,1,1,1,0,0,0,1,0,0,0,0
2,11622,5,6,1,2,1,5,0,2,140,105000,1778.0,896,1.0,1,1,1,0,0,0,1,0,0,0,0
3,14267,6,6,1,3,1,6,0,2,393,172000,2658.0,1329,1.5,1,1,1,0,0,0,1,0,0,0,0
4,11160,7,5,1,3,1,8,2,2,0,244000,4220.0,2110,3.5,1,1,0,0,0,0,1,0,0,0,0
5,13830,5,5,1,3,1,6,1,2,212,189900,2557.0,1629,2.5,1,1,1,0,1,0,1,0,0,0,0
6,9978,6,6,1,3,1,7,1,2,360,195500,2530.0,1604,2.5,1,1,1,0,0,0,1,0,0,0,0
7,4920,8,5,1,2,1,6,0,2,0,213500,2676.0,1338,3.0,1,1,1,0,0,1,1,0,0,0,1
8,5005,8,5,1,2,1,5,0,2,0,191500,2560.0,1280,2.0,1,1,1,0,0,0,1,0,0,0,1
9,5389,8,5,1,2,1,5,1,2,237,236500,3211.0,1616,3.0,1,1,1,0,1,0,1,0,0,0,1
10,7500,7,5,1,3,1,7,1,2,140,189000,2798.0,1804,2.5,1,1,1,0,0,0,1,0,0,0,0
11,10000,6,5,1,3,1,7,1,2,157,175900,2418.0,1655,2.5,1,1,1,0,1,0,1,0,0,0,0
12,7980,6,7,1,3,1,6,0,2,483,185000,2355.0,1187,3.0,1,1,1,0,1,0,1,0,0,0,0
13,8402,6,5,1,3,1,7,1,2,0,180400,2254.0,1465,2.5,1,1,1,0,0,0,1,0,0,0,0
14,10176,7,5,1,2,1,5,1,2,192,171500,2641.0,1341,2.5,1,1,0,0,0,0,1,0,0,0,0
15,6820,8,5,1,1,1,4,0,2,0,212000,2990.0,1502,2.5,1,1,1,0,0,0,1,0,0,0,1
16,53504,8,5,1,4,1,12,1,2,503,538000,4929.0,3279,4.5,1,1,1,0,0,1,1,0,0,0,0
17,12134,8,7,1,4,1,8,0,2,325,164000,2311.0,1752,2.0,1,1,1,0,1,0,1,0,0,0,0
18,11394,9,2,1,1,1,8,1,2,113,394432,3712.0,1856,2.5,1,1,0,0,0,1,0,0,0,0,0
19,19138,4,5,1,2,1,4,0,2,0,141000,1728.0,864,1.0,1,1,0,0,0,0,1,0,0,0,0
20,13175,6,6,1,3,1,7,2,2,349,210000,3615.0,2073,3.0,1,1,0,0,1,0,1,0,0,0,0
21,11751,6,6,1,3,1,7,1,2,0,190000,3688.0,1844,2.0,1,1,1,0,0,0,1,0,0,0,0
22,10625,7,6,1,3,1,6,2,2,0,170000,2226.0,1173,3.0,1,1,1,0,0,0,1,0,0,0,0
23,7500,7,5,1,3,1,7,0,2,0,216000,2488.0,1674,3.5,1,1,1,0,0,0,1,0,0,0,0
24,11241,6,7,1,2,1,5,1,2,0,149000,2008.0,1004,2.0,1,1,0,0,0,0,1,0,0,0,0
25,12537,5,6,1,3,1,6,1,2,0,149900,2156.0,1078,2.5,1,1,0,0,1,0,1,0,0,0,0
26,8450,5,6,1,3,1,6,1,2,0,142000,2112.0,1056,2.0,1,1,1,0,0,0,1,0,0,0,0
27,8400,4,5,1,2,1,4,0,2,240,126000,1764.0,882,2.0,1,1,0,0,0,0,1,0,0,0,0
28,10500,4,5,1,3,1,5,1,2,0,115000,1728.0,864,1.0,1,0,0,0,0,0,1,0,0,0,0
29,5858,7,5,1,2,1,5,1,2,203,184000,2742.0,1337,3.0,1,1,1,0,0,0,1,0,0,0,1
30,1680,6,5,1,2,1,5,0,2,275,96000,1470.0,987,1.5,1,1,0,0,0,0,1,0,0,1,0
31,1680,5,5,1,3,1,6,0,2,0,105500,1617.0,1092,1.5,1,1,0,0,0,0,1,0,0,1,0
32,1680,6,5,1,3,1,6,0,2,0,88000,1617.0,1092,1.5,1,1,0,0,0,0,1,0,0,1,0
33,4043,6,5,1,2,1,4,1,2,0,127500,2138.0,1069,2.0,1,1,1,0,0,0,1,0,0,0,1
34,2280,6,6,1,3,1,6,1,2,173,149900,2311.0,1456,2.5,1,1,0,0,0,0,1,0,0,1,0
35,2280,7,6,1,2,1,4,0,2,0,120000,1672.0,836,1.0,1,1,1,0,0,0,1,0,0,1,0
36,2280,6,5,1,3,1,7,1,2,26,146000,2311.0,1456,2.5,1,1,0,0,0,0,1,0,0,1,0
37,12858,9,5,1,3,1,10,1,2,144,376162,3924.0,2334,2.5,1,1,1,0,1,1,0,0,0,0,0
38,11478,8,5,1,3,1,7,1,2,0,306000,3408.0,1704,3.0,1,1,1,0,1,1,1,0,0,0,0
39,10159,9,5,1,3,1,8,1,2,168,395192,3870.0,1940,3.5,1,1,1,0,1,1,0,0,0,0,0
40,12883,8,5,1,3,1,7,0,2,0,290941,3088.0,1544,2.0,1,1,1,0,1,1,0,0,0,0,0
41,12182,7,5,1,3,1,7,1,2,0,220000,3082.0,1541,2.0,1,1,1,0,0,1,0,0,0,0,0
42,11520,9,5,1,3,1,7,1,2,192,275000,3396.0,1698,2.0,1,1,1,0,0,1,1,0,0,0,0
43,14122,8,5,1,3,1,8,1,2,0,259000,3644.0,1822,2.0,1,1,1,0,1,1,1,0,0,0,0
44,10171,7,5,1,3,1,7,0,2,0,214000,3052.0,1535,2.0,1,1,0,0,0,1,1,0,0,0,0
45,12919,9,5,1,2,1,11,2,2,0,611657,4694.0,2364,3.5,1,1,1,0,1,1,0,0,0,0,0
46,6371,7,5,1,2,1,6,1,2,192,224000,2716.0,1358,3.0,1,1,1,0,1,1,0,0,0,0,1
47,14300,9,5,1,3,1,10,2,2,220,500000,5542.0,2696,3.5,1,1,1,0,1,1,1,0,0,0,0
48,13650,8,5,1,3,1,7,1,2,238,320000,3921.0,2250,3.5,1,1,1,0,0,1,1,0,0,0,0
49,7658,9,5,1,2,1,6,1,2,196,319900,3504.0,1752,3.0,1,1,1,0,0,1,1,0,0,0,1
